points,turnover,ast,blk,reb_d,reb_o,pfoul,stl,reb,two,two_m_two,twop,trey,treyp,ft,ftp,team,two_m,trey_m,ft_m
123.0,13.0,32.0,2.0,32.0,16.0,23.0,12.0,48.0,45.0,,62.22,43.0,37.21,24.0,79.17,Home,28.0,16.0,19.0
113.0,17.0,25.0,1.0,28.0,12.0,18.0,10.0,40.0,44.0,,54.55,34.0,47.06,25.0,68.0,Away,24.0,16.0,17.0
98.0,20.0,16.0,4.0,35.0,15.0,25.0,5.0,50.0,49.0,,57.14,28.0,32.14,19.0,78.95,Home,28.0,9.0,15.0
92.0,14.0,17.0,2.0,27.0,18.0,21.0,13.0,45.0,49.0,,53.06,36.0,16.67,25.0,88.0,Away,26.0,6.0,22.0
86.0,12.0,16.0,3.0,34.0,17.0,21.0,12.0,51.0,62.0,,38.71,27.0,25.93,31.0,54.84,Home,24.0,7.0,17.0
107.0,17.0,17.0,7.0,48.0,15.0,25.0,8.0,63.0,52.0,,50.0,35.0,37.14,20.0,80.0,Away,26.0,13.0,16.0
100.0,20.0,23.0,2.0,37.0,23.0,22.0,14.0,60.0,68.0,,42.65,22.0,22.73,29.0,93.1,Home,29.0,5.0,27.0
90.0,23.0,16.0,9.0,33.0,8.0,25.0,12.0,41.0,47.0,,55.32,28.0,25.0,21.0,80.95,Away,26.0,7.0,17.0
97.0,15.0,31.0,1.0,34.0,18.0,22.0,9.0,52.0,50.0,,36.0,45.0,37.78,14.0,71.43,Home,18.0,17.0,10.0
112.0,15.0,24.0,4.0,43.0,11.0,14.0,10.0,54.0,56.0,,55.36,25.0,40.0,27.0,74.07,Away,31.0,10.0,20.0
94.0,24.0,24.0,7.0,41.0,21.0,23.0,16.0,62.0,61.0,,42.62,24.0,29.17,29.0,72.41,Home,26.0,7.0,21.0
87.0,21.0,15.0,5.0,35.0,15.0,23.0,13.0,50.0,51.0,,47.06,33.0,18.18,29.0,72.41,Away,24.0,6.0,21.0
94.0,21.0,20.0,4.0,41.0,19.0,19.0,18.0,60.0,64.0,,46.88,22.0,27.27,24.0,66.67,Home,30.0,6.0,16.0
76.0,21.0,17.0,5.0,37.0,11.0,18.0,10.0,48.0,51.0,,56.86,28.0,3.57,23.0,65.22,Away,29.0,1.0,15.0
92.0,15.0,27.0,8.0,38.0,15.0,23.0,9.0,53.0,50.0,,42.0,30.0,33.33,30.0,66.67,Home,21.0,10.0,20.0
90.0,16.0,20.0,7.0,38.0,14.0,20.0,11.0,52.0,48.0,,39.58,33.0,36.36,22.0,72.73,Away,19.0,12.0,16.0
